0.033333 0.541260 -3.401197 -0.613856
0.066667 2.008995 -2.708050 0.697634
0.100000 4.409535 -2.302585 1.483769
0.133333 7.716325 -2.014903 2.043338
0.166667 11.834059 -1.791759 2.470982
0.200000 16.781704 -1.609438 2.820289
0.233333 22.474570 -1.455287 3.112384
0.266667 28.817792 -1.321756 3.360993
0.300000 35.856914 -1.203973 3.579536
0.333333 43.445380 -1.098612 3.771505
0.366667 51.802702 -1.003302 3.947442
0.400000 60.709128 -0.916291 4.106094
0.433333 70.157584 -0.836248 4.250744
0.466667 80.093303 -0.762140 4.383192
0.500000 90.533545 -0.693147 4.505720
0.533333 101.457506 -0.628609 4.619640
0.566667 112.911507 -0.567984 4.726604
0.600000 124.744277 -0.510826 4.826266
0.633333 137.103473 -0.456758 4.920736
0.666667 149.611131 -0.405465 5.008039
0.700000 162.631034 -0.356675 5.091484
0.733333 175.959151 -0.310155 5.170252
0.766667 189.504284 -0.265703 5.244412
0.800000 203.468868 -0.223144 5.315513
0.833333 217.880760 -0.182322 5.383948
0.866667 232.498338 -0.143101 5.448883
0.900000 247.226978 -0.105361 5.510307
0.933333 262.513301 -0.068993 5.570302
0.966667 278.046945 -0.033902 5.627790
1.000000 293.666265 0.000000 5.682444
1.033333 309.442839 0.032790 5.734773
1.066667 325.053740 0.064539 5.783991
1.100000 340.687506 0.095310 5.830966
1.133333 356.215776 0.125163 5.875537
1.166667 371.544246 0.154151 5.917668
1.200000 387.208523 0.182322 5.958963
1.233333 402.899383 0.209721 5.998687
1.266667 417.962906 0.236389 6.035393
1.300000 432.485156 0.262364 6.069548
1.333333 447.128032 0.287682 6.102845
1.366667 461.365730 0.312375 6.134191
1.400000 475.142372 0.336472 6.163614
1.433333 488.656956 0.360003 6.191661
1.466667 501.899750 0.382992 6.218400
1.500000 514.346192 0.405465 6.242897
1.533333 525.654513 0.427444 6.264644
1.566667 536.162387 0.448950 6.284437
1.600000 545.554769 0.470004 6.301803
1.633333 553.958833 0.490623 6.317090
1.666667 560.936329 0.510826 6.329607
1.700000 566.935218 0.530628 6.340245
1.733333 572.101893 0.550046 6.349317
1.766667 575.942881 0.569095 6.356008
1.800000 579.013593 0.587787 6.361326
1.833333 581.128670 0.606136 6.364972
1.866667 582.396752 0.624154 6.367152
1.900000 582.205777 0.641854 6.366824
1.933333 582.263653 0.659246 6.366923
1.966667 580.772708 0.676340 6.364359
2.000000 578.286065 0.693147 6.360069
2.033333 574.942769 0.709676 6.354271
2.066667 569.669518 0.725937 6.345056
2.100000 563.668015 0.741937 6.334465
2.133333 555.086043 0.757686 6.319123
2.166667 545.857247 0.773190 6.302357
2.200000 533.759087 0.788457 6.279945
2.233333 519.429663 0.803495 6.252731
2.266667 505.450150 0.818310 6.225449
2.300000 487.966333 0.832909 6.190246
2.333333 469.551948 0.847298 6.151779
2.366667 449.012914 0.861482 6.107052
2.400000 427.286698 0.875469 6.057455
2.433333 408.852257 0.889262 6.013354
2.466667 392.123787 0.902868 5.971578
2.500000 377.198245 0.916291 5.932771
